time	V(1)	V(2)	V(3)	V(4)	V(5)	V(6)	V(7)	V(8)
3.139792425490769e-001	6.649325e-011	1.329844e-010	9.994378e-001	2.224794e-009	9.992506e-001	3.818265e-009	9.985023e-001	9.970090e-001
3.139806099731732e-001	6.649355e-011	1.329850e-010	9.994378e-001	2.225549e-009	9.992506e-001	3.818268e-009	9.985023e-001	9.970090e-001
3.139819773972695e-001	6.649377e-011	1.329855e-010	9.994378e-001	2.226078e-009	9.992506e-001	3.818271e-009	9.985023e-001	9.970090e-001
3.139833448213659e-001	6.649389e-011	1.329857e-010	9.994378e-001	2.226382e-009	9.992506e-001	3.818272e-009	9.985023e-001	9.970090e-001
3.139847122454622e-001	6.649392e-011	1.329858e-010	9.994378e-001	2.226459e-009	9.992506e-001	3.818272e-009	9.985023e-001	9.970090e-001
3.139860796695585e-001	6.649386e-011	1.329857e-010	9.994378e-001	2.226311e-009	9.992506e-001	3.818272e-009	9.985023e-001	9.970090e-001
3.139874470936548e-001	6.649371e-011	1.329854e-010	9.994378e-001	2.225936e-009	9.992506e-001	3.818270e-009	9.985023e-001	9.970090e-001
3.139878218715041e-001	6.649371e-011	1.329854e-010	9.994378e-001	2.225936e-009	9.992506e-001	3.818270e-009	9.985023e-001	9.970090e-001
3.139882274476865e-001	3.331068e-008	9.999688e-001	9.994379e-001	2.679444e-007	9.992511e-001	1.066294e-006	9.985044e-001	9.970132e-001
3.139885873554581e-001	9.999844e-001	9.999688e-001	9.994379e-001	6.687802e-008	9.992507e-001	2.623299e-007	9.985028e-001	9.970100e-001
3.139889949731273e-001	9.999844e-001	9.999688e-001	9.994378e-001	-2.059363e-008	9.992505e-001	-8.742579e-008	9.985021e-001	9.970086e-001
3.139893705585770e-001	9.999844e-001	9.999688e-001	9.994378e-001	9.461383e-009	9.992506e-001	3.274925e-008	9.985023e-001	9.970091e-001
3.139897954913511e-001	9.999844e-001	9.999688e-001	9.994378e-001	-4.460400e-010	9.992505e-001	-6.865621e-009	9.985023e-001	9.970089e-001
3.139901946611425e-001	9.999844e-001	9.999688e-001	9.994378e-001	3.151838e-009	9.992506e-001	7.520397e-009	9.985023e-001	9.970090e-001
3.139909930007253e-001	9.999844e-001	9.999688e-001	9.994378e-001	1.676988e-009	9.992506e-001	1.623234e-009	9.985023e-001	9.970090e-001
3.141150000000000e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233469e-009	9.992506e-001	3.848363e-009	9.985023e-001	9.970090e-001
3.141300000000000e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.143828571428572e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.146357142857143e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.148885714285715e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233453e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.151414285714286e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233453e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.153942857142857e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233453e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.156471428571429e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.159000000000000e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.159046959529752e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.159050878589255e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848319e-009	9.985023e-001	9.970090e-001
3.159062946126536e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848262e-009	9.985023e-001	9.970090e-001
3.159067052917170e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233454e-009	9.992506e-001	3.848327e-009	9.985023e-001	9.970090e-001
3.159072566953717e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233430e-009	9.992506e-001	3.848381e-009	9.985023e-001	9.970090e-001
3.159077055380686e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233244e-009	9.992506e-001	3.848367e-009	9.985023e-001	9.970090e-001
3.159085876922195e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233016e-009	9.992506e-001	3.848353e-009	9.985023e-001	9.970090e-001
3.159090238761861e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233483e-009	9.992506e-001	3.848337e-009	9.985023e-001	9.970090e-001
3.159095101709644e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233745e-009	9.992506e-001	3.848331e-009	9.985023e-001	9.970090e-001
3.159108520629828e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233651e-009	9.992506e-001	3.848327e-009	9.985023e-001	9.970090e-001
3.159116443067854e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233463e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.159136601664173e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233460e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.159142764705429e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233449e-009	9.992506e-001	3.848328e-009	9.985023e-001	9.970090e-001
3.159150000000000e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233402e-009	9.992506e-001	3.848273e-009	9.985023e-001	9.970090e-001
3.159152170588370e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233349e-009	9.992506e-001	3.848225e-009	9.985023e-001	9.970090e-001
3.159155064706198e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233214e-009	9.992506e-001	3.848111e-009	9.985023e-001	9.970090e-001
3.159157909756072e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.232933e-009	9.992506e-001	3.847972e-009	9.985023e-001	9.970090e-001
3.159160698701322e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.232432e-009	9.992506e-001	3.847932e-009	9.985023e-001	9.970090e-001
3.159162527095853e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.231985e-009	9.992506e-001	3.848033e-009	9.985023e-001	9.970090e-001
3.159164177101028e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.231553e-009	9.992506e-001	3.848220e-009	9.985023e-001	9.970090e-001
3.159166287108300e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.231176e-009	9.992506e-001	3.848491e-009	9.985023e-001	9.970090e-001
3.159168411994738e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.231286e-009	9.992506e-001	3.848640e-009	9.985023e-001	9.970090e-001
3.159170057197006e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.231848e-009	9.992506e-001	3.848610e-009	9.985023e-001	9.970090e-001
3.159171561990583e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.232703e-009	9.992506e-001	3.848502e-009	9.985023e-001	9.970090e-001
3.159173253297605e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233876e-009	9.992506e-001	3.848378e-009	9.985023e-001	9.970090e-001
3.159174887680855e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.234884e-009	9.992506e-001	3.848321e-009	9.985023e-001	9.970090e-001
3.159176777711834e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.235452e-009	9.992506e-001	3.848342e-009	9.985023e-001	9.970090e-001
3.159178555618718e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.235216e-009	9.992506e-001	3.848395e-009	9.985023e-001	9.970090e-001
3.159180666537204e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.234308e-009	9.992506e-001	3.848429e-009	9.985023e-001	9.970090e-001
3.159182498430515e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233545e-009	9.992506e-001	3.848417e-009	9.985023e-001	9.970090e-001
3.159184644902687e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233278e-009	9.992506e-001	3.848385e-009	9.985023e-001	9.970090e-001
3.159187092097502e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233679e-009	9.992506e-001	3.848366e-009	9.985023e-001	9.970090e-001
3.159192027256285e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.234107e-009	9.992506e-001	3.848375e-009	9.985023e-001	9.970090e-001
3.159195266193524e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233708e-009	9.992506e-001	3.848370e-009	9.985023e-001	9.970090e-001
3.159208008422375e-001	9.999844e-001	9.999688e-001	9.994378e-001	2.233700e-009	9.992506e-001	3.848353e-009	9.985023e-001	9.970090e-001
